,y_true,y_pred,precision,coverage,a0,a1,a2,a3,a4,a5,a6
0,0,0,0.6160583941605839,0.0028,rainfall > 124.27,N > 84.25,temperature <= 22.77,humidity > 80.47,28.00 < P <= 51.00,K <= 49.00,ph > 6.43
1,0,0,0.48960429242119385,0.0071,rainfall > 124.27,N > 84.25,temperature <= 22.77,humidity > 60.26,28.00 < P <= 68.00,20.00 < K <= 49.00,
2,0,0,0.39297771775827145,0.0393,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,28.00 < P <= 68.00,K <= 49.00,
3,0,0,0.44013377926421404,0.005,rainfall > 124.27,37.00 < N <= 84.25,32.00 < K <= 49.00,28.00 < P <= 51.00,temperature <= 28.56,60.26 < humidity <= 80.47,ph > 6.92
4,0,0,0.5242346938775511,0.0103,rainfall > 124.27,N > 37.00,temperature <= 22.77,28.00 < P <= 51.00,K <= 49.00,60.26 < humidity <= 89.95,
5,0,0,0.42450142450142453,0.033,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,
6,0,0,0.44552967693463563,0.0072,rainfall > 124.27,N > 37.00,temperature <= 22.77,28.00 < P <= 68.00,20.00 < K <= 49.00,80.47 < humidity <= 89.95,ph <= 6.43
7,0,0,0.5746630727762804,0.0049,rainfall > 124.27,N > 84.25,temperature <= 22.77,28.00 < P <= 68.00,80.47 < humidity <= 89.95,K <= 49.00,
8,0,0,0.4941905499612703,0.0173,rainfall > 124.27,N > 84.25,temperature <= 25.60,humidity > 80.47,K <= 49.00,28.00 < P <= 68.00,
9,0,0,0.3988486842105263,0.0198,rainfall > 124.27,N > 37.00,temperature <= 25.60,80.47 < humidity <= 89.95,K <= 49.00,28.00 < P <= 68.00,ph <= 6.43
10,0,0,0.4337274424393279,0.0035,rainfall > 124.27,N > 84.25,ph <= 5.97,temperature <= 28.56,28.00 < P <= 68.00,80.47 < humidity <= 89.95,K <= 49.00
11,0,0,0.5267326732673268,0.0114,rainfall > 124.27,N > 84.25,temperature <= 25.60,humidity > 80.47,K <= 49.00,28.00 < P <= 51.00,
12,0,0,0.4180064308681672,0.0097,rainfall > 124.27,37.00 < N <= 84.25,ph <= 5.97,28.00 < P <= 68.00,temperature <= 28.56,60.26 < humidity <= 89.95,32.00 < K <= 49.00
13,0,20,0.5609264853977844,0.0038,rainfall > 124.27,N > 84.25,32.00 < K <= 49.00,22.77 < temperature <= 25.60,humidity > 80.47,51.00 < P <= 68.00,ph > 5.97
14,0,0,0.4482490272373541,0.0036,rainfall > 124.27,N > 84.25,28.00 < P <= 51.00,temperature <= 28.56,80.47 < humidity <= 89.95,K <= 49.00,ph > 6.92
15,0,0,0.5094722598105548,0.003,rainfall > 124.27,37.00 < N <= 84.25,temperature <= 25.60,60.26 < humidity <= 80.47,28.00 < P <= 51.00,32.00 < K <= 49.00,ph > 6.92
16,0,0,0.6228693181818182,0.0006,rainfall > 124.27,N > 84.25,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph <= 6.43
17,0,0,0.4520383693045564,0.0061,rainfall > 124.27,N > 84.25,temperature <= 25.60,humidity > 60.26,K <= 49.00,28.00 < P <= 51.00,ph > 6.92
18,0,0,0.5450516986706057,0.0007,rainfall > 124.27,37.00 < N <= 84.25,temperature <= 22.77,28.00 < P <= 51.00,60.26 < humidity <= 80.47,20.00 < K <= 49.00,ph <= 6.92
19,0,0,0.5274102079395085,0.0033,rainfall > 124.27,N > 84.25,temperature <= 25.60,80.47 < humidity <= 89.95,K <= 49.00,28.00 < P <= 51.00,ph <= 6.43
20,0,20,0.48089887640449436,0.0074,rainfall > 124.27,N > 84.25,32.00 < K <= 49.00,80.47 < humidity <= 89.95,28.00 < P <= 68.00,6.43 < ph <= 6.92,
21,0,0,0.435361216730038,0.0067,rainfall > 124.27,N > 37.00,temperature <= 25.60,60.26 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph <= 5.97
22,0,0,0.4801010739102969,0.0182,rainfall > 124.27,N > 37.00,temperature <= 22.77,28.00 < P <= 68.00,20.00 < K <= 49.00,60.26 < humidity <= 89.95,
23,0,0,0.486027397260274,0.0092,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,
24,0,0,0.5223410950283197,0.0033,rainfall > 124.27,N > 84.25,temperature <= 25.60,humidity > 80.47,28.00 < P <= 51.00,K <= 49.00,ph > 6.92
25,0,0,0.402975821450713,0.041,rainfall > 124.27,N > 37.00,temperature <= 25.60,28.00 < P <= 68.00,80.47 < humidity <= 89.95,K <= 49.00,
26,0,0,0.44519704433497537,0.0052,rainfall > 124.27,N > 84.25,temperature <= 28.56,28.00 < P <= 68.00,K <= 49.00,80.47 < humidity <= 89.95,5.97 < ph <= 6.43
27,0,0,0.5383886255924171,0.0038,rainfall > 124.27,N > 84.25,humidity > 80.47,temperature <= 25.60,28.00 < P <= 51.00,K <= 49.00,ph > 6.92
28,0,0,0.5190635451505017,0.0086,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph > 5.97
29,0,0,0.5141318977119784,0.0048,rainfall > 124.27,N > 37.00,temperature <= 22.77,60.26 < humidity <= 89.95,28.00 < P <= 51.00,K <= 49.00,ph <= 6.43
30,0,0,0.4899598393574297,0.0131,rainfall > 124.27,N > 37.00,temperature <= 22.77,80.47 < humidity <= 89.95,K <= 49.00,P <= 68.00,
31,0,0,0.5074946466809421,0.0007,rainfall > 124.27,N > 84.25,temperature <= 22.77,28.00 < P <= 51.00,K <= 49.00,humidity > 60.26,ph <= 6.43
