,y_true,y_pred,precision,coverage,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11
0,0,0,0.993421052631579,0.538,HbA1c_level <= 5.80,,,,,,,,,,,
1,0,0,0.9917582417582418,0.5362,HbA1c_level <= 5.80,,,,,,,,,,,
2,0,0,1,0.2996,HbA1c_level <= 4.80,,,,,,,,,,,
3,0,0,0.9935064935064936,0.5145,blood_glucose_level <= 140.00,,,,,,,,,,,
4,1,0,0.9798387096774194,0.4985,age <= 42.00,,,,,,,,,,,
5,0,0,0.9805194805194806,0.5867,gender = 0.00,,,,,,,,,,,
6,0,0,0.9934640522875817,0.5408,HbA1c_level <= 5.80,,,,,,,,,,,
7,0,0,1,0.3057,HbA1c_level <= 4.80,,,,,,,,,,,
8,0,0,0.9764705882352941,0.7939,HbA1c_level <= 6.20,,,,,,,,,,,
9,0,0,1,0.271,blood_glucose_level <= 100.00,,,,,,,,,,,
10,0,0,0.9939024390243902,0.5321,HbA1c_level <= 5.80,,,,,,,,,,,
11,0,0,1,0.8122,blood_glucose_level <= 159.00,,,,,,,,,,,
12,0,0,1,0.2971,HbA1c_level <= 4.80,,,,,,,,,,,
13,0,0,0.9775280898876404,0.7954,HbA1c_level <= 6.20,,,,,,,,,,,
14,0,0,1,0.5177,blood_glucose_level <= 140.00,,,,,,,,,,,
15,1,0,0.9766536964980544,0.5151,blood_glucose_level <= 140.00,,,,,,,,,,,
16,0,0,1,0.2994,HbA1c_level <= 4.80,,,,,,,,,,,
17,0,0,1,0.28,blood_glucose_level <= 100.00,,,,,,,,,,,
18,0,0,0.9761904761904762,0.5014,age <= 42.00,,,,,,,,,,,
19,0,0,1,0.3075,HbA1c_level <= 4.80,,,,,,,,,,,
20,0,0,1,1,,,,,,,,,,,,
21,0,0,1,0.8129,blood_glucose_level <= 159.00,,,,,,,,,,,
22,0,0,0.9831460674157303,0.7607,age <= 59.00,,,,,,,,,,,
23,0,0,1,0.2973,HbA1c_level <= 4.80,,,,,,,,,,,
24,0,0,1,0.5415,HbA1c_level <= 5.80,,,,,,,,,,,
25,0,0,0.9931506849315068,0.5041,age <= 42.00,,,,,,,,,,,
26,0,0,1,0.2836,blood_glucose_level <= 100.00,,,,,,,,,,,
27,0,0,0.993421052631579,0.5384,HbA1c_level <= 5.80,,,,,,,,,,,
28,0,0,0.9932885906040269,0.5381,HbA1c_level <= 5.80,,,,,,,,,,,
29,0,0,0.9867256637168141,0.2731,blood_glucose_level <= 100.00,,,,,,,,,,,
30,0,0,0.9830508474576272,0.7893,HbA1c_level <= 6.20,,,,,,,,,,,
31,0,0,0.9883720930232558,0.7919,HbA1c_level <= 6.20,,,,,,,,,,,
32,0,0,0.993421052631579,0.5307,HbA1c_level <= 5.80,,,,,,,,,,,
33,0,0,0.9834254143646409,0.7512,age <= 59.00,,,,,,,,,,,
34,0,0,0.9916666666666667,0.2499,bmi <= 23.52,,,,,,,,,,,
35,0,0,0.9774011299435028,0.796,HbA1c_level <= 6.20,,,,,,,,,,,
36,0,0,1,0.2495,age <= 23.00,,,,,,,,,,,
37,0,0,1,0.817,blood_glucose_level <= 159.00,,,,,,,,,,,
38,0,0,1,0.2866,blood_glucose_level <= 100.00,,,,,,,,,,,
39,1,0,1,0.5075,blood_glucose_level <= 140.00,,,,,,,,,,,
40,0,0,0.9932885906040269,0.5341,HbA1c_level <= 5.80,,,,,,,,,,,
41,0,0,1,0.303,HbA1c_level <= 4.80,,,,,,,,,,,
42,0,0,1,0.2757,blood_glucose_level <= 100.00,,,,,,,,,,,
43,0,0,0.9871794871794872,0.5018,age <= 42.00,,,,,,,,,,,
44,1,1,0.6360601001669449,0.0074,HbA1c_level > 6.20,blood_glucose_level > 140.00,hypertension = 1.00,age > 42.00,bmi > 29.52,,,,,,,
45,0,0,1,0.5111,blood_glucose_level <= 140.00,,,,,,,,,,,
46,0,0,0.9867549668874173,0.5043,blood_glucose_level <= 140.00,,,,,,,,,,,
47,0,0,0.9924242424242424,0.2982,HbA1c_level <= 4.80,,,,,,,,,,,
48,0,0,1,0.2962,HbA1c_level <= 4.80,,,,,,,,,,,
49,0,0,1,0.2788,blood_glucose_level <= 100.00,,,,,,,,,,,
50,0,0,0.9966777408637874,0.5414,HbA1c_level <= 5.80,,,,,,,,,,,
51,0,0,0.9717741935483871,0.5077,age <= 42.00,,,,,,,,,,,
52,1,1,0.6384180790960452,0.0002,HbA1c_level > 6.20,bmi > 29.52,hypertension = 1.00,blood_glucose_level > 140.00,age > 42.00,gender = 1.00,smoking_history = 2.00,hypertension = 1.00,smoking_history = 2.00,,,
53,1,0,0.9835164835164835,0.7434,bmi <= 29.52,,,,,,,,,,,
54,0,0,0.9931972789115646,0.5073,blood_glucose_level <= 140.00,,,,,,,,,,,
55,0,0,0.9914529914529915,0.2775,blood_glucose_level <= 100.00,,,,,,,,,,,
56,0,0,1,0.7952,HbA1c_level <= 6.20,,,,,,,,,,,
57,0,0,1,0.3018,HbA1c_level <= 4.80,,,,,,,,,,,
58,0,0,0.9871794871794872,0.5971,gender = 0.00,,,,,,,,,,,
59,0,0,0.9775280898876404,0.7884,HbA1c_level <= 6.20,,,,,,,,,,,
60,0,0,0.9800995024875622,0.2551,age <= 23.00,,,,,,,,,,,
61,0,0,0.974910394265233,0.8185,blood_glucose_level <= 159.00,,,,,,,,,,,
62,0,0,1,0.305,HbA1c_level <= 4.80,,,,,,,,,,,
63,0,0,0.9705882352941176,0.0667,smoking_history = 5.00,,,,,,,,,,,
64,0,0,1,0.541,HbA1c_level <= 5.80,,,,,,,,,,,
65,0,0,0.9891304347826086,0.8139,blood_glucose_level <= 159.00,,,,,,,,,,,
66,0,0,1,0.8105,blood_glucose_level <= 159.00,,,,,,,,,,,
67,0,0,0.9846743295019157,0.5006,age <= 42.00,,,,,,,,,,,
68,0,0,1,0.5436,HbA1c_level <= 5.80,,,,,,,,,,,
69,0,0,0.9875776397515528,0.513,blood_glucose_level <= 140.00,,,,,,,,,,,
70,0,0,0.992,0.2577,age <= 23.00,,,,,,,,,,,
71,0,0,0.9929078014184397,0.5028,age <= 42.00,,,,,,,,,,,
72,1,1,0.5013599274705349,0.0004,HbA1c_level > 6.20,age > 59.00,blood_glucose_level > 140.00,bmi > 29.52,smoking_history = 5.00,,,,,,,
73,0,0,1,0.8153,blood_glucose_level <= 159.00,,,,,,,,,,,
74,0,0,0.9846938775510204,0.9318,hypertension = 0.00,,,,,,,,,,,
75,0,0,0.9924242424242424,0.2985,HbA1c_level <= 4.80,,,,,,,,,,,
76,0,0,0.9917355371900827,0.2518,bmi <= 23.52,,,,,,,,,,,
77,0,0,0.9807692307692307,0.5364,HbA1c_level <= 5.80,,,,,,,,,,,
