,y_true,y_pred,precision,coverage,a0,a1,a2,a3
935,1,1,0.5022805017103763,0.3436,fixed_acidity <= 13.12,alcohol <= 12.60,residual_sugar > 4.10,density > 0.99
168,1,1,0.4530722484807562,0.2895,fixed_acidity <= 13.12,alcohol <= 11.00,density > 0.99,
736,1,1,0.4827850038255547,0.2892,alcohol <= 12.60,fixed_acidity <= 13.12,density <= 1.00,
455,0,1,0.449438202247191,0.2765,fixed_acidity <= 13.12,alcohol <= 12.60,density <= 1.00,
241,1,1,0.4343807763401109,0.2714,alcohol <= 11.00,fixed_acidity > 7.10,density > 0.99,
695,1,0,0.5362173038229376,0.271,9.50 < alcohol <= 12.60,residual_sugar <= 7.55,,
687,2,2,0.48921620199894794,0.2492,residual_sugar > 11.50,,,
623,1,0,0.5675482487491065,0.2465,alcohol > 11.00,residual_sugar <= 7.55,,
597,1,1,0.5223188405797101,0.2325,alcohol <= 11.00,residual_sugar > 4.10,fixed_acidity <= 13.12,density > 0.99
510,0,0,0.555667001003009,0.1964,9.50 < alcohol <= 12.60,residual_sugar <= 7.55,density > 0.99,
953,2,0,0.3536723163841808,0.1939,fixed_acidity <= 7.10,density <= 1.00,,
834,1,1,0.40932642487046633,0.1934,alcohol <= 11.00,fixed_acidity > 7.10,0.99 < density <= 1.00,
296,2,0,0.3527777777777778,0.1932,fixed_acidity <= 10.40,residual_sugar <= 11.50,density > 1.00,
998,2,2,0.49234863606121093,0.1928,residual_sugar > 11.50,density > 0.99,,
978,2,0,0.5705950991831972,0.1916,alcohol > 11.00,residual_sugar <= 7.55,density > 0.99,
410,1,1,0.5,0.1903,alcohol <= 11.00,7.10 < fixed_acidity <= 13.12,density > 0.99,
226,0,0,0.5547038327526133,0.1893,9.50 < alcohol <= 12.60,residual_sugar <= 7.55,fixed_acidity > 7.10,
855,0,0,0.548051948051948,0.1886,9.50 < alcohol <= 12.60,residual_sugar <= 11.50,fixed_acidity > 10.40,
